No.,分类,曲名,创作者,谱面,BPM,版本,别名
306,ORIGINAL,トリスメギストス,bermei.inazawa,STD 4 | STD 6 | STD 10 | STD 14,147,STAR,
305,ORIGINAL,PinqPiq,owl＊tree feat.awao＊tree,STD 3 | STD 5 | STD 10 | STD 13+,117,STAR,
304,ORIGINAL,JIGOKU STATION CENTRAL GATE,鬱P feat.000,STD 4 | STD 7+ | STD 12 | STD 14 | STD 14+,160,STAR,
303,ORIGINAL,眠れぬ夜君を想フ,baker,STD 3 | STD 5 | STD 10 | STD 14,130,STAR,
302,ORIGINAL,立川浄穢捕物帳,青島探偵事務所器楽捜査部B担,STD 3 | STD 6 | STD 9+ | STD 14,210,STAR,立川净秽捕物帐
301,ORIGINAL,光線チューニング,ナユタン星人,STD 3 | STD 6 | STD 9+ | STD 12,190,STAR,光线|ray|ray turning
300,イロドリミドリ,Session High⤴,イロドリミドリ,STD 3 | STD 6 | STD 10 | STD 13,200,STAR,
299,イロドリミドリ,ＧＯ！ＧＯ！ラブリズム♥ ～あーりん書類審査通過記念Ver.～,御形アリシアナオンザイロドリマンション(イロドリミドリ),STD 3 | STD 5 | STD 9+ | STD 12,180,STAR,
298,VARIETY,Black Lotus,wa.,STD 4 | STD 7 | STD 11 | STD 14,200,CRYSTAL,黑莲
297,東方Project,儚きもの人間,豚乙女,STD 3 | STD 6 | STD 9+ | STD 13,180,STAR,
296,東方Project,華鳥風月,幽閉サテライト,STD 2 | STD 5 | STD 8+ | STD 11+,123,STAR,
295,POPS & ANIME,前前前世,RADWIMPS「君の名は。」,STD 3 | STD 5 | STD 8+ | STD 12,190,STAR,你的名字
294,POPS & ANIME,Redo,鈴木このみ「Re:ゼロから始める異世界生活」,STD 3 | STD 6 | STD 9+ | STD 12+ | STD 13+,190,,re0|艾米莉亚|重做|redo|从零开始的异世界生活|从零开始的异世界
293,VARIETY,Through The Tower,SoundTeMP「ラグナロクオンライン」,STD 2 | STD 5 | STD 9+ | STD 12+,140,AIR PLUS,
292,ORIGINAL,We Gonna Party -Feline Groove Mix-,Morrigan feat.Lily,STD 4 | STD 7 | STD 12 | STD 14,170,AIR PLUS,
291,イロドリミドリ,The wheel to the Night ～インド人が夢に!?～,Sampling Masters なる＆せりな(イロドリミドリ),STD 3 | STD 6 | STD 10+ | STD 14,220,STAR PLUS,夜轮|彩绿印度人|彩绿电锯人|彩绿右轮
290,niconico,地球最後の告白を,kemu,STD 3 | STD 6 | STD 9 | STD 13,190,AIR PLUS,地球最后的告白
289,VARIETY,Finite,Sta,STD 3 | STD 7 | STD 11+ | STD 15,178,AIR PLUS,双色球|抽奖
288,ORIGINAL,混沌を越えし我らが神聖なる調律主を讃えよ,穴山大輔,STD 5 | STD 10 | STD 14 | STD 15+,240,AIR PLUS,大蟑螂|广东大蟑螂|飞天大蟑螂|混沌|蟑螂|广东蟑螂|广东特产|混沌越
287,ゲキマイ,相思創愛,伊東歌詞太郎・ろん×まらしぃ,STD 3 | STD 6 | STD 9+ | STD 12+,195,STAR,
286,ゲキマイ,分からない,ろん×黒魔,STD 3 | STD 7 | STD 10+ | STD 14,200,AIR PLUS,不知道|哇卡拉奶|我不知道|我不到啊|这
285,ゲキマイ,Barbed Eye,柿チョコ×みきとP,STD 3 | STD 5 | STD 9 | STD 12,135,AIR PLUS,
284,ゲキマイ,りばーぶ,高橋菜々×岡部啓一(MONACA),STD 2 | STD 5 | STD 8 | STD 11,120,AIR PLUS,
283,ゲキマイ,悪戯,ろん×田中秀和(MONACA),STD 3 | STD 5 | STD 9+ | STD 12+,140,AIR PLUS,恶戏
282,ORIGINAL,最愛テトラグラマトン,片霧烈火,STD 3 | STD 6 | STD 9+ | STD 13+ | STD 14,176,AIR PLUS,
281,ゲキマイ,天国と地獄 -言ノ葉リンネ-,伊東歌詞太郎・ろん×れるりり,STD 2 | STD 5 | STD 9+ | STD 12,138,AIR PLUS,天国地狱
280,ゲキマイ,Like the Wind [Reborn],sampling masters MEGA「パワードリフト」,STD 4 | STD 8 | STD 11 | STD 14,200,AIR PLUS,一块钱
279,イロドリミドリ,あねぺったん,月鈴姉妹(イロドリミドリ),STD 3 | STD 6 | STD 9 | STD 12,180,AIR PLUS,
278,VARIETY,レッツゴー!陰陽師,「新豪血寺一族 -煩悩解放-」,STD 2 | STD 5 | STD 8 | STD 11+,150,AIR PLUS,阴阳师
277,POPS & ANIME,若い力 -SEGA HARD GIRLS MIX-,セガ・ハード・ガールズ,STD 3 | STD 6 | STD 8 | STD 11+,162,AIR PLUS,
276,VARIETY,Dengeki Tube,BACO,STD 4 | STD 7+ | STD 12+ | STD 15,155,AIR PLUS,电管|15
275,VARIETY,オモイヨシノ,loos feat. 柊莉杏,STD 3 | STD 5 | STD 8 | STD 11+,168,STAR PLUS,
274,VARIETY,Bird Sprite,syatten,STD 3 | STD 5 | STD 8+ | STD 13,146,AIR PLUS,
273,VARIETY,Name of oath,void (Mournfinale) feat. コツキミヤ (Gt. えば),STD 3 | STD 7 | STD 11 | STD 14+,174,AIR PLUS,noo
272,VARIETY,GOODTEK,EBIMAYO,STD 4 | STD 7 | STD 10+ | STD 14,190,AIR PLUS,锤子|良锤|好锤子
271,VARIETY,神威,TJ.hangneil,STD 5 | STD 8+ | STD 13+ | STD 15,210,AIR PLUS,
270,VARIETY,Evans,DJ YOSHITAKA,STD 3 | STD 7 | STD 10+ | STD 14 | STD 14+,185,AIR PLUS,
269,東方Project,キュアリアス光吉古牌　－祭－,光吉猛修「東方幻想麻雀」,STD 3 | STD 5 | STD 10 | STD 12+,155,AIR PLUS,光吉猛修
268,東方Project,仙酌絶唱のファンタジア,博麗神社例大祭コラボユニット,STD 3 | STD 5 | STD 9 | STD 13+,160,AIR PLUS,
267,東方Project,"Help me, ERINNNNNN!! -Cranky remix-",ビートまりお × Cranky,STD 3 | STD 6 | STD 9 | STD 12+,180,AIR PLUS,
266,東方Project,Witches night,Liz Triangle,STD 3 | STD 6 | STD 8 | STD 12,154,AIR PLUS,
265,東方Project,Starlight Dance Floor,発熱巫女～ず,STD 3 | STD 5 | STD 8 | STD 11+,128,AIR PLUS,
264,東方Project,愛き夜道 feat. ランコ、雨天決行,魂音泉,STD 2 | STD 5 | STD 8 | STD 12+,136,AIR PLUS,
263,東方Project,泡沫、哀のまほろば,幽閉サテライト,STD 3 | STD 5 | STD 8 | STD 11+,155,AIR PLUS,
262,niconico,ECHO,CIRCRUSH,STD 3 | STD 5 | STD 9+ | STD 12+,140,AIR PLUS,回声|恶臭
261,niconico,だんだん早くなる,40mP,STD 3 | STD 5 | STD 9 | STD 11+,126,AIR PLUS,末白|逐渐变快
260,niconico,チュルリラ・チュルリラ・ダッダッダ！,和田たけあき(くらげP),STD 3 | STD 6 | STD 10 | STD 13+,220,AIR PLUS,哒哒哒
259,niconico,デリヘル呼んだら君が来た,ナナホシ管弦楽団,STD 3 | STD 6 | STD 8+ | STD 13,190,AIR PLUS,应召女郎
258,niconico,すきなことだけでいいです,ピノキオピー,STD 2 | STD 5 | STD 8 | STD 13,140,AIR PLUS,
257,niconico,アンハッピーリフレイン,wowaka,STD 3 | STD 7 | STD 9+ | STD 13+,205,AIR PLUS,unhappy refrain|ur
256,niconico,虎視眈々,梅とら,STD 3 | STD 5 | STD 8 | STD 12+,134,AIR PLUS,虎视眈眈
255,niconico,エイリアンエイリアン,ナユタン星人,STD 3 | STD 5 | STD 9+ | STD 11+,152,AIR PLUS,alien alien|外星人
254,niconico,おこちゃま戦争,ギガ/れをる,STD 4 | STD 7 | STD 10 | STD 13+,175,AIR PLUS,孩子气的战争
253,niconico,いーあるふぁんくらぶ,みきとP,STD 2 | STD 5 | STD 8 | STD 11,145,AIR PLUS,一二粉丝俱乐部
252,niconico,桜ノ雨,halyosy,STD 1 | STD 5 | STD 8 | STD 11,76,AIR PLUS,
251,POPS & ANIME,true my heart -Lovable mix-,ave;new feat.佐倉紗織,STD 2 | STD 5 | STD 8 | STD 11+,135,AIR PLUS,
250,POPS & ANIME,Face of Fact,KOTOKO,STD 3 | STD 5 | STD 9+ | STD 12,135,AIR PLUS,
249,POPS & ANIME,ラブリー☆えんじぇる!!,あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」,STD 3 | STD 6 | STD 9+ | STD 12+,173,AIR PLUS,
248,POPS & ANIME,Daydream café,Petit Rabbit's「ご注文はうさぎですか？」,STD 3 | STD 5 | STD 8 | STD 11 | STD 12+,150,,点兔
247,ORIGINAL,オススメ☆♂♀☆でぃすとぴあ,ULTRA-PRISM,STD 4 | STD 7+ | STD 10+ | STD 14,130,AIR PLUS,男娘
246,ORIGINAL,おまかせ！！トラブルメイ娘☆とれびちゃん,かたほとり feat.桃箱,STD 3 | STD 6 | STD 9+ | STD 14,192,AIR PLUS,男娘
245,イロドリミドリ,Still,イロドリミドリ,STD 3 | STD 5 | STD 9 | STD 13,176,AIR PLUS,
244,ORIGINAL,RevolutionGame,れるりり feat.ろん,STD 2 | STD 5 | STD 8+ | STD 12,147,AIR PLUS,
243,イロドリミドリ,SPICY SWINGY STYLE,明坂 芹菜(CV:新田 恵海),STD 3 | STD 6 | STD 9+ | STD 12+,242,AIR PLUS,
242,イロドリミドリ,Tic Tac DREAMIN’,天王洲 なずな(CV:山本 彩乃),STD 3 | STD 5 | STD 8+ | STD 11+,125,AIR PLUS,
241,niconico,シジョウノコエ VOCALO ver.,OSTER project,STD 3 | STD 5 | STD 9+ | STD 12+,170,AIR,
240,ORIGINAL,Supersonic Generation,Massive New Krew,STD 4 | STD 7 | STD 11+ | STD 14,155,AIR PLUS,轩辕十四|超音速代
239,VARIETY,FLOATED CALM,from PACA PACA PASSION,STD 3 | STD 5 | STD 10 | STD 12+,130,AIR PLUS,
238,ゲキマイ,Oshama Scramble!,t+pazolite,STD 4 | STD 8 | STD 11 | STD 14 | STD 15,190,CRYSTAL PLUS,牛奶|牛奶猫
237,ゲキマイ,空威張りビヘイビア,un:c・ろん×じーざすP,STD 3 | STD 6 | STD 9 | STD 13 | STD 14,186,AIR,
236,イロドリミドリ,猛進ソリストライフ！,月鈴 那知(CV:今村 彩夏),STD 4 | STD 7 | STD 9+ | STD 12+ | STD 14+,252,AIR,
235,イロドリミドリ,ドキドキDREAM!!!,イロドリミドリ,STD 3 | STD 6 | STD 9+ | STD 12+ | STD 13+,210,AIR,
234,VARIETY,STAIRWAY TO GENERATION,Yosh(Survive Said The Prophet)「ボーダーブレイク」,STD 3 | STD 5 | STD 9+ | STD 13,150,AIR,
233,VARIETY,★LittlE HearTs★,ねこみみ魔法使い,STD 4 | STD 8 | STD 11+ | STD 15,200,AIR,小心心
232,VARIETY,JULIAN,Queen P.A.L.,STD 3 | STD 6 | STD 10+ | STD 13+,153,AIR,
231,VARIETY,Sakura Fubuki,Street,STD 3 | STD 7 | STD 9 | STD 13,175,AIR,樱吹雪
230,VARIETY,Her Majesty,naotyu-,STD 3 | STD 6 | STD 9 | STD 13+,222,AIR,
229,VARIETY,STAGER,Ras,STD 3 | STD 5 | STD 10 | STD 13+,146,AIR,
228,VARIETY,Dreadnought,Mastermind(xi+nora2r),STD 4 | STD 7+ | STD 10+ | STD 14+ | STD 14+,192,AIR,手电筒|无畏舰|无畏契约|瓦|无畏
227,東方Project,Imperishable Night 2006 (2016 Refine),ゆうゆ / 篠螺悠那,STD 4 | STD 7+ | STD 11+ | STD 14+,161,AIR,2006
226,VARIETY,ERIS -Legend of Gaidelia-,Grand Thaw / Rigel Theatre,STD 3 | STD 6 | STD 9 | STD 13+ | STD 15,162,AIR,
225,VARIETY,010,eoll,STD 2 | STD 6 | STD 9+ | STD 13+,180,AIR,
224,VARIETY,Say A Vengeance,ETIA. feat.Jenga,STD 3 | STD 6 | STD 9+ | STD 13+,185,AIR,
223,VARIETY,DataErr0r,Lunatic Sounds,STD 3 | STD 7 | STD 10 | STD 14 | STD 15,180,AIR,dataerror|你没保存数据
222,VARIETY,Air,SHIKI,STD 3 | STD 7 | STD 10 | STD 14+ | STD 15,180,AIR,雅迪|唉呀|空气|工业革命空气
221,niconico,みくみくにしてあげる♪【してやんよ】,ika,STD 3 | STD 5 | STD 8 | STD 11+,160,AIR,
220,ORIGINAL,覚醒楽奏メタフィクション,マチゲリータ,STD 3 | STD 7+ | STD 12 | STD 14,200,AIR PLUS,
219,ORIGINAL,Paqqin,owl＊tree,STD 3 | STD 6 | STD 10 | STD 13+,110,AIR,pq
218,VARIETY,凛として咲く花の如く,紅色リトマス,STD 3 | STD 5 | STD 9 | STD 12+ | STD 14,163,AIR,凛笑花如|凛花|如花凛然绽放
217,東方Project,幻想のサテライト,豚乙女,STD 3 | STD 7 | STD 11 | STD 14,230,AIR,幻想卫星
216,VARIETY,In The Blue Sky '01,電脳戦機バーチャロンフォース,STD 3 | STD 5 | STD 8 | STD 11+,167,AIR,
215,VARIETY,Dreams Dreams:Kids Ver.,Tomoko Sasaki「NiGHTS～星降る夜の物語～」,STD 1 | STD 5 | STD 7+ | STD 10,99,AIR,
214,VARIETY,Strahv,Feryquitous feat.Sennzai,STD 4 | STD 7+ | STD 11 | STD 14,191,AIR,
213,niconico,白い雪のプリンセスは,のぼる↑,STD 3 | STD 6 | STD 9+ | STD 12,200,AIR,
212,東方Project,No Routine,A-One,STD 2 | STD 6 | STD 9 | STD 12+,163,AIR,
211,VARIETY,PRIVATE SERVICE,from PACA PACA PASSION 2,STD 3 | STD 5 | STD 9+ | STD 13+ | STD 14+,160,AIR,
210,VARIETY,風仁雷仁,カラフル・サウンズ・ポート,STD 3 | STD 5 | STD 9 | STD 13 | STD 14+,142,AIR,
209,ORIGINAL,響,志方あきこ,STD 3 | STD 5 | STD 9+ | STD 12,115,AIR PLUS,
208,niconico,人生リセットボタン,kemu,STD 4 | STD 7 | STD 10 | STD 13+,200,AIR,人生重来键
207,niconico,インビジブル,kemu,STD 4 | STD 7 | STD 10+ | STD 14,192,AIR,透明人间
206,東方Project,月に叢雲華に風,幽閉サテライト,STD 3 | STD 5 | STD 8 | STD 12,160,AIR,
205,VARIETY,Kronos,削除,STD 3 | STD 5 | STD 9+ | STD 13,156,AIR,克罗诺斯
204,VARIETY,檄!帝国華撃団,真宮寺さくら（横山智佐）＆帝国歌劇団「サクラ大戦」,STD 3 | STD 6 | STD 8 | STD 11,143,AIR,缴
203,ORIGINAL,ウソラセラ,ピノキオピー,STD 3 | STD 6 | STD 10+ | STD 13,188,AIR,
202,ORIGINAL,First Twinkle,折戸伸治 feat.北沢綾香,STD 3 | STD 5 | STD 8+ | STD 11 | STD 13+,154,AIR,
201,niconico,ロミオとシンデレラ,doriko,STD 3 | STD 6 | STD 10 | STD 11+,170,AIR,罗密欧与辛德瑞拉
200,niconico,Tell Your World,livetune,STD 3 | STD 5 | STD 8 | STD 11,150,,pjsk新手教程
199,niconico,メルト,supercell,STD 2 | STD 5 | STD 8 | STD 11,170,AMAZON PLUS,melt|溶解
198,niconico,幸せになれる隠しコマンドがあるらしい,うたたP,STD 3 | STD 5 | STD 10 | STD 13+,142,AIR,幸隐
197,niconico,神曲,おにゅうP,STD 3 | STD 5 | STD 8 | STD 12,163,AIR,懂得欣赏
196,niconico,アカツキアライヴァル,Last Note.,STD 2 | STD 5 | STD 9+ | STD 11+,125,AIR,拂晓抵达
195,niconico,ラクガキスト,cosMo＠暴走P,STD 4 | STD 7 | STD 11 | STD 14,199,AIR,涂鸦者|rkgk
194,niconico,リモコン,じーざすP（ワンダフル☆オポチュニティ！）,STD 3 | STD 5 | STD 8 | STD 11+,165,AIR,遥控器
193,niconico,深海少女,ゆうゆ,STD 3 | STD 5 | STD 8 | STD 11+,137,AIR,
192,niconico,からくりピエロ,40mP,STD 2 | STD 5 | STD 8 | STD 11+,102,AIR,活动小丑
191,イロドリミドリ,TRUST,小仏 凪(CV:佐倉 薫),STD 3 | STD 6 | STD 9+ | STD 13,190,AIR PLUS,
190,ORIGINAL,後夜祭,田口囁一／感傷ベクトル,STD 3 | STD 5 | STD 9+ | STD 13,200,AIR,後夜祭|后夜祭|后夜
189,niconico,愛言葉,DECO*27,STD 2 | STD 5 | STD 8 | STD 11,137,AIR,爱言叶
188,ORIGINAL,願い星,霜月はるか,STD 3 | STD 5 | STD 8 | STD 11+,140,AIR PLUS,
187,niconico,ビバハピ,Mitchie M,STD 3 | STD 6 | STD 9 | STD 11+,148,,快乐万岁
186,niconico,有頂天ビバーチェ,Last Note.,STD 2 | STD 6 | STD 8 | STD 11+,133,AIR,
185,niconico,鬼KYOKAN,じーざすP（ワンダフル☆オポチュニティ！）,STD 4 | STD 6 | STD 10 | STD 14,182,AIR,鬼教官
184,niconico,エンヴィキャットウォーク,トーマ,STD 3 | STD 6 | STD 9+ | STD 13,160,AIR,嫉妒猫步
183,イロドリミドリ,Bang Babang Bang!!!,御形 アリシアナ(CV:福原 綾香),STD 3 | STD 6 | STD 10+ | STD 13+,200,AIR PLUS,邦邦
182,ORIGINAL,心象蜃気楼,Orangestar,STD 3 | STD 5 | STD 9+ | STD 11,190,AIR,
181,ORIGINAL,ゲシュタルト！テスト期間！！,solfa feat.茶太,STD 3 | STD 5 | STD 9+ | STD 13+,170,AIR PLUS,
180,イロドリミドリ,猫祭り,箱部 なる(CV:M・A・O),STD 3 | STD 6 | STD 9+ | STD 12,160,AIR PLUS,猫寄|猫祭
179,イロドリミドリ,My Dearest Song,月鈴 白奈(CV:高野 麻里佳),STD 3 | STD 5 | STD 8+ | STD 13,145,AIR,
178,niconico,Hand in Hand,livetune,STD 3 | STD 5 | STD 8+ | STD 11+,128,AIR,手拉手
177,ORIGINAL,Tidal Wave,D-Cee,STD 4 | STD 7+ | STD 10+ | STD 14,175,AIR,
176,ORIGINAL,ロボットプラネットユートピア,lumo,STD 3 | STD 6 | STD 9+ | STD 13,150,AIR,
175,ORIGINAL,D.E.A.D.L.Y.,さつき が てんこもり feat.YURiCa/花たん,STD 3 | STD 6 | STD 9+ | STD 12+,175,AIR,
174,ORIGINAL,Oshama Scramble! (Cranky Remix),Cranky,STD 4 | STD 7 | STD 11 | STD 14,190,AIR,cranky牛奶|牛奶
173,ORIGINAL,TiamaT:F minor,Team Grimoire,STD 4 | STD 9+ | STD 13+ | STD 15,215,AIR PLUS,提亚马特|提|大猩猩|猩猩|猩|提暗示|提暗示？|提提提|提你妈|不要再提了
172,ORIGINAL,BOKUTO,じーざすP feat.kradness,STD 3 | STD 7+ | STD 10 | STD 14,188,AIR,破裤头|剥裤头
171,ORIGINAL,札付きのワル　～マイケルのうた～,ひーちゃんとあーちゃんとたーちゃん,STD 3 | STD 6 | STD 10 | STD 13+,184,AIR PLUS,
170,ORIGINAL,その群青が愛しかったようだった,n-buna feat.ヤギヌマカナ,STD 3 | STD 6 | STD 10 | STD 11+,220,AIR,
169,ORIGINAL,Warcry,YATAGARASU,STD 3 | STD 7 | STD 10 | STD 14,190,AIR PLUS,
168,niconico,愛迷エレジー,DECO*27,STD 3 | STD 6 | STD 9+ | STD 12+,210,CHUNITHM PLUS,疯狂星期四|爱迷
167,niconico,Crazy ∞ nighT,ひとしずく×やま△,STD 3 | STD 6 | STD 8+ | STD 13,204,CHUNITHM PLUS,
166,ORIGINAL,Philosopher,少女病,STD 4 | STD 7 | STD 12 | STD 14+,145,AIR,哲学家
165,ORIGINAL,ドライヴ・オン・ザ・レインボー,並木晃一,STD 2 | STD 5 | STD 10+ | STD 13+,112,AIR PLUS,
164,ORIGINAL,Schrecklicher Aufstand,Katzeohr & Spiegel,STD 5 | STD 9 | STD 13 | STD 15,180,AIR,德国人|闪击波兰|巴巴罗萨计划
163,イロドリミドリ,なるとなぎのパーフェクトロックンロール教室,イロドリミドリ,STD 3 | STD 6 | STD 10+ | STD 13+,216,CHUNITHM PLUS,
162,イロドリミドリ,"Help me, あーりん！",イロドリミドリ,STD 3 | STD 5 | STD 9+ | STD 11+,183,CHUNITHM PLUS,
161,POPS & ANIME,回レ！雪月花,歌組雪月花 夜々(原田 ひとみ)/いろり(茅野 愛衣)/小紫(小倉 唯) 「機巧少女は傷つかない」,STD 3 | STD 5 | STD 9+ | STD 12+ | STD 14,160,CHUNITHM PLUS,雪月花
160,niconico,夜咄ディセイブ,じん 「カゲロウプロジェクト」,STD 3 | STD 6 | STD 10 | STD 13+,130,CHUNITHM PLUS,夜咄
159,ORIGINAL,Devastating Blaster,INNOCENT NOIZE,STD 3 | STD 8 | STD 13 | STD 15,160,AIR PLUS,机械头|恐怖机械头|飞天机械头
158,VARIETY,アルストロメリア,TAG,STD 3 | STD 5 | STD 9+ | STD 12+ | STD 14+,144,CHUNITHM PLUS,alstroemeria|六出花
157,VARIETY,Elemental Creation,dj TAKA meets DJ YOSHITAKA,STD 3 | STD 7 | STD 11 | STD 14+ | STD 15,212,CHUNITHM PLUS,忍者|少打音游多读书|读书|读书郎|元素创造
156,ORIGINAL,Hyperion,Maozon,STD 3 | STD 6 | STD 10 | STD 13+ | STD 14+,135,AIR,亥伯龙
155,ORIGINAL,紅華刑,-45,STD 4 | STD 7 | STD 12+ | STD 14,165,AIR,红华刑
154,niconico,このふざけた素晴らしき世界は、僕の為にある,n.k,STD 3 | STD 5 | STD 8 | STD 12,152,CHUNITHM PLUS,
153,ゲキマイ,洗脳,ゆりん・柿チョコ×Neru,STD 2 | STD 5 | STD 8 | STD 11+,125,CHUNITHM PLUS,洗脑
152,ゲキマイ,Garakuta Doll Play,t+pazolite,STD 5 | STD 8+ | STD 13 | STD 15,256,CHUNITHM PLUS,gdp|四大天王|国民生产总值|小丑
151,niconico,ウミユリ海底譚,n-buna,STD 3 | STD 5 | STD 9+ | STD 12+,120,CHUNITHM PLUS,海底谭|地雷|屎|百合花
150,niconico,恋愛裁判,40mP,STD 2 | STD 5 | STD 8+ | STD 11+,134,CHUNITHM PLUS,恋爱裁判
149,niconico,カミサマネジマキ,kemu,STD 3 | STD 7 | STD 11 | STD 14,284,CHUNITHM PLUS,神明发条
148,niconico,Mr. Wonderland,sasakure.UK,STD 3 | STD 6 | STD 11+ | STD 14,140,CHUNITHM PLUS,mr wonderland
147,niconico,如月アテンション,じん 「カゲロウプロジェクト」,STD 2 | STD 5 | STD 9+ | STD 12+,200,CHUNITHM PLUS,
146,ORIGINAL,玩具狂奏曲 -終焉-,きくお,STD 5 | STD 9 | STD 13+ | STD 15,130,AIR,玩具|玩具狂奏曲|出生狂奏曲
145,ORIGINAL,サウンドプレイヤー,tilt-six feat.バル,STD 3 | STD 5 | STD 9 | STD 13,143,AIR,
144,niconico,楽園ファンファーレ,放課後楽園部 「ミカグラ学園組曲」,STD 3 | STD 5 | STD 9+ | STD 11+,180,CHUNITHM PLUS,
143,niconico,放課後革命,放課後楽園部 「ミカグラ学園組曲」,STD 3 | STD 6 | STD 9+ | STD 12+,205,CHUNITHM PLUS,
142,niconico,星屑ユートピア,otetsu,STD 3 | STD 6 | STD 9+ | STD 11+,240,CHUNITHM PLUS,星屑
141,niconico,いろは唄,銀サク,STD 3 | STD 5 | STD 9 | STD 12+,172,CHUNITHM PLUS,
140,niconico,天樂,ゆうゆ,STD 3 | STD 6 | STD 9+ | STD 12,232,CHUNITHM PLUS,天乐
139,niconico,アスノヨゾラ哨戒班,Orangestar,STD 3 | STD 6 | STD 9+ | STD 12+ | STD 14,185,CHUNITHM PLUS,烧鸡班
138,VARIETY,SAMBISTA,DOT96,STD 3 | STD 7 | STD 10 | STD 13+,152,CHUNITHM PLUS,
137,ORIGINAL,SNIPE WHOLE,Masayoshi Minoshima feat.Mei Ayakura,STD 4 | STD 6 | STD 10+ | STD 13+,172,CHUNITHM PLUS,
136,VARIETY,ちくわパフェだよ☆CKP,日向美ビタースイーツ♪,STD 3 | STD 6 | STD 9 | STD 11+ | STD 14,205,CHUNITHM,
135,VARIETY,FLOWER,DJ YOSHITAKA,STD 3 | STD 5 | STD 9+ | STD 13 | STD 14,173,CHUNITHM,花|扶老二|街机公交车
134,ORIGINAL,GEMINI -C-,Tatsh,STD 4 | STD 7 | STD 11 | STD 14,180,CHUNITHM PLUS,双子星
133,ORIGINAL,Contrapasso -inferno-,t+pazolite,STD 4 | STD 9+ | STD 12+ | STD 15,243,CHUNITHM PLUS,齿轮
132,イロドリミドリ,無敵We are one!!,イロドリミドリ,STD 3 | STD 6 | STD 9+ | STD 12+,190,CHUNITHM PLUS,
131,イロドリミドリ,ハート・ビート,明坂 芹菜(CV:新田 恵海),STD 3 | STD 6 | STD 10 | STD 12,212,CHUNITHM PLUS,
130,VARIETY,AVALON,sasakure.UK,STD 4 | STD 7+ | STD 12 | STD 14,200,STAR PLUS,阿瓦隆
129,VARIETY,Jack-the-Ripper◆,sasakure.UK,STD 4 | STD 8 | STD 11+ | STD 14,210,CHUNITHM PLUS,jack the ripper|开膛手杰克|杰克
128,VARIETY,FREEDOM DiVE,xi,STD 5 | STD 8 | STD 11+ | STD 15,222,CHUNITHM PLUS,fd|自由落体|222.22
127,東方Project,永遠のメロディ,あ～るの～と（いえろ～ぜぶら）,STD 3 | STD 5 | STD 8 | STD 12+,155,AIR PLUS,
126,東方Project,Phantasm Brigade,Silver Forest,STD 3 | STD 5 | STD 9 | STD 14,168,AIR PLUS,幻影旅队
125,東方Project,Club Ibuki in Break All,void＋夕野ヨシミ (IOSYS) feat.藤原鞠菜,STD 3 | STD 6 | STD 9+ | STD 13,175,AIR PLUS,
124,東方Project,Starlight Vision,矢鴇つかさ feat. 三澤秋,STD 3 | STD 6 | STD 9+ | STD 13,180,AIR PLUS,
123,東方Project,幽闇に目醒めしは,セブンスヘブンMAXION,STD 2 | STD 5 | STD 8 | STD 11+,120,AIR PLUS,
122,東方Project,エテルニタス・ルドロジー,IRON ATTACK!,STD 3 | STD 7 | STD 10 | STD 13+,178,AIR,
121,東方Project,ひれ伏せ愚民どもっ！,ARM＋夕野ヨシミ (IOSYS) feat.miko,STD 3 | STD 6 | STD 10 | STD 13+,180,AIR,
120,東方Project,患部で止まってすぐ溶ける～狂気の優曇華院,ARM＋夕野ヨシミ (IOSYS) feat.miko,STD 3 | STD 7 | STD 11 | STD 14 | STD 15,200,AIR,患部
119,東方Project,ってゐ！　～えいえんてゐVer～,石鹸屋,STD 3 | STD 5 | STD 9+ | STD 11+,159,AIR,
118,POPS & ANIME,euphoric field（English）,ELISA「ef - a tale of memories.」,STD 2 | STD 5 | STD 8 | STD 11+,150,,
117,niconico,ユクエシレズ,こじろー,STD 2 | STD 5 | STD 8 | STD 11+,132,CHUNITHM,
